Age_Group,Gender,Financial_Background,Current_Study_Occupation,Sleep_Hours,Screen_Time,Free_Time_Activity,Exercise_Frequency,Stress_Level,Experienced_Issue,Main_Reason,Anxious_Exhausted_Frequency,Can_Talk_Openly,Current_Emotional_State,Preferred_Support_Resource,Need_MH_Awareness_in_College
23-26,Male,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Scroll social media,1–2 times a week,1 (Very Low),Depression,Academic press,Rarely,No,Neutral,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,0–2 hours,Talk to friends/family,3–5 times a week,3 (Moderate),None of these,Not applicable,Almost every day,No,Stressed,School/College Counselors,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,0–2 hours,Scroll social media,3–5 times a week,4 (High),Depression,Academic press,Often,Yes,Neutral,Family/Friends,Yes
23-26,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Panic attacks,Academic press,Often,Sometimes,Stressed,Online Therapy Platforms,No
19-22,Female,Rich,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,2 (Low),Anxiety,Social media c,Often,Yes,Neutral,Family/Friends,Yes
23-26,Female,Rich,School Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Online Therapy Platforms,Yes
23-26,Male,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Watch movies / listen to music,Never,4 (High),Anxiety,Financial stre,Sometimes,Sometimes,Neutral,Family/Friends,Yes
23-26,Female,Lower Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,3–5 times a week,5 (Very High),Panic attacks,Family expecta,Almost every day,Yes,Neutral,Mental Health Apps,No
27-30,Female,Middle Class,School Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Panic attacks,Academic press,Almost every day,Sometimes,Depressed / Burnt out,School/College Counselors,Yes
15-18,Male,Lower Class,Postgraduate Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Almost every day,Sometimes,Stressed,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,Less than 6 hours,6–8 hours,Talk to friends/family,Never,3 (Moderate),Anxiety,Relationship i,Often,Yes,Neutral,Online Therapy Platforms,Yes
15-18,Male,Middle Class,School Student,6–8 hours,2–4 hours,Go out / exercise,3–5 times a week,3 (Moderate),Anxiety,Academic press,Rarely,Yes,Anxious,Mental Health Apps,Yes
23-26,Female,Rich,Working Professional,6–8 hours,6–8 hours,Watch movies / listen to music,Never,3 (Moderate),Anxiety,Social media c,Rarely,Sometimes,Neutral,Online Therapy Platforms,No
27-30,Female,Lower Class,School Student,6–8 hours,2–4 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Anxiety,Academic press,Rarely,No,Neutral,Family/Friends,Yes
27-30,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Go out / exercise,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Yes,Happy and stable,Family/Friends,Yes
27-30,Male,Lower Class,Postgraduate Student,Less than 6 hours,2–4 hours,Go out / exercise,1–2 times a week,4 (High),None of these,Not applicable,Rarely,Yes,Stressed,Family/Friends,Yes
19-22,Male,Lower Class,School Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Panic attacks,Academic press,Often,No,Stressed,Mental Health Apps,Yes
27-30,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Talk to friends/family,3–5 times a week,4 (High),None of these,Not applicable,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Female,Middle Class,Undergraduate Student,Less than 6 hours,0–2 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Panic attacks,Family expecta,Sometimes,Sometimes,Depressed / Burnt out,Family/Friends,Yes
19-22,Female,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Almost every day,No,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,No,Stressed,Family/Friends,Yes
15-18,Male,Rich,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,4 (High),Panic attacks,Uncertainty ab,Sometimes,Sometimes,Anxious,Family/Friends,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,1 (Very Low),Anxiety,Family expecta,Sometimes,No,Neutral,Online Therapy Platforms,Yes
23-26,Female,Lower Class,Undergraduate Student,6–8 hours,More than 8 hours,Talk to friends/family,Never,5 (Very High),Depression,Social media c,Rarely,Sometimes,Stressed,Family/Friends,Yes
15-18,Male,Rich,Postgraduate Student,6–8 hours,6–8 hours,Talk to friends/family,Daily,3 (Moderate),None of these,Not applicable,Rarely,Yes,Neutral,Mental Health Apps,Yes
15-18,Male,Middle Class,Undergraduate Student,More than 10 hours,6–8 hours,Read or learn something new,1–2 times a week,5 (Very High),Depression,Financial stre,Rarely,Sometimes,Neutral,Family/Friends,Yes
15-18,Male,Middle Class,School Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Financial stre,Almost every day,Yes,Neutral,Mental Health Apps,Yes
27-30,Male,Rich,Postgraduate Student,6–8 hours,6–8 hours,Scroll social media,Daily,3 (Moderate),Panic attacks,Academic press,Sometimes,No,Neutral,Support Groups,Yes
27-30,Female,Middle Class,Working Professional,Less than 6 hours,6–8 hours,Scroll social media,1–2 times a week,1 (Very Low),Depression,Academic press,Almost every day,No,Neutral,Mental Health Apps,Yes
27-30,Male,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Sometimes,Happy and stable,Family/Friends,Yes
19-22,Male,Lower Class,School Student,6–8 hours,More than 8 hours,Watch movies / listen to music,Never,2 (Low),Anxiety,Academic press,Sometimes,Yes,Neutral,Family/Friends,Yes
15-18,Female,Lower Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Depression,Financial stre,Sometimes,No,Anxious,Online Therapy Platforms,Yes
23-26,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Yes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,Undergraduate Student,More than 10 hours,More than 8 hours,Watch movies / listen to music,Daily,4 (High),None of these,Not applicable,Rarely,Sometimes,Stressed,Mental Health Apps,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,4 (High),Panic attacks,Uncertainty ab,Often,Sometimes,Happy and stable,Family/Friends,Yes
15-18,Female,Middle Class,School Student,8–10 hours,6–8 hours,Read or learn something new,1–2 times a week,3 (Moderate),Panic attacks,Academic press,Sometimes,Yes,Stressed,Family/Friends,Yes
23-26,Male,Rich,Working Professional,6–8 hours,6–8 hours,Overthinking,Never,5 (Very High),Panic attacks,Financial stre,Sometimes,No,Anxious,Family/Friends,Yes
23-26,Male,Lower Class,Working Professional,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,5 (Very High),Anxiety,Social media c,Sometimes,Sometimes,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,8–10 hours,More than 8 hours,Scroll social media,1–2 times a week,4 (High),Depression,Relationship i,Sometimes,Sometimes,Stressed,School/College Counselors,Yes
15-18,Female,Rich,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Sometimes,Stressed,Support Groups,Yes
19-22,Male,Rich,Undergraduate Student,6–8 hours,6–8 hours,Overthinking,1–2 times a week,4 (High),None of these,Not applicable,Sometimes,No,Depressed / Burnt out,School/College Counselors,Yes
15-18,Male,Rich,Undergraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,1 (Very Low),Panic attacks,Uncertainty ab,Sometimes,No,Neutral,Support Groups,No
19-22,Female,Middle Class,School Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Anxious,Online Therapy Platforms,Yes
27-30,Male,Rich,Postgraduate Student,6–8 hours,0–2 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Depression,Academic press,Almost every day,Yes,Stressed,Family/Friends,No
19-22,Male,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Rarely,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Middle Class,School Student,6–8 hours,6–8 hours,Watch movies / listen to music,Never,4 (High),Depression,Academic press,Rarely,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Talk to friends/family,Daily,3 (Moderate),Anxiety,Academic press,Sometimes,No,Happy and stable,Online Therapy Platforms,No
23-26,Male,Middle Class,School Student,Less than 6 hours,0–2 hours,Overthinking,Daily,4 (High),None of these,Not applicable,Sometimes,No,Neutral,Mental Health Apps,Yes
19-22,Male,Rich,School Student,6–8 hours,6–8 hours,Read or learn something new,Never,5 (Very High),Panic attacks,Financial stre,Sometimes,No,Stressed,Family/Friends,Yes
27-30,Female,Middle Class,School Student,Less than 6 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Yes,Neutral,Family/Friends,No
23-26,Male,Rich,Working Professional,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Panic attacks,Academic press,Rarely,Sometimes,Stressed,Family/Friends,Yes
27-30,Male,Lower Class,School Student,8–10 hours,0–2 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Social media c,Almost every day,Sometimes,Happy and stable,Support Groups,Yes
19-22,Female,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,2 (Low),Anxiety,Uncertainty ab,Rarely,Yes,Neutral,Support Groups,No
23-26,Male,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Sleep / do nothing,1–2 times a week,3 (Moderate),None of these,Not applicable,Rarely,Yes,Neutral,Family/Friends,Yes
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Panic attacks,Financial stre,Rarely,No,Neutral,Family/Friends,Yes
15-18,Female,Middle Class,Working Professional,8–10 hours,0–2 hours,Watch movies / listen to music,1–2 times a week,4 (High),Depression,Academic press,Rarely,Sometimes,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Read or learn something new,1–2 times a week,2 (Low),Depression,Relationship i,Sometimes,Yes,Neutral,Family/Friends,Yes
